name,longitude,latitude
Edgware Road (Circle/District/Hammersmith and City),-0.167668,51.519998
Edmonton Green,-0.061639,51.625116
Elephant and Castle,-0.100739,51.495849
Elm Park,0.197253,51.549125
Elmers End,-0.049464,51.398291
Elmstead Woods,0.044229,51.417081
Elstree and Borehamwood,-0.279829,51.652876
Eltham,0.052329,51.455662
Elverson Road,-0.016816,51.468372
Embankment,-0.122367,51.507312
Emerson Park,0.220223,51.569115
Enfield Chase,-0.090704,51.652722
Enfield Lock,-0.028391,51.670846
Enfield Town,-0.07933,51.65197
Epping,0.113826,51.693686
Epsom Downs,-0.23897,51.323659
Erith,0.174261,51.481648
Essex Road,-0.096366,51.540633
Euston,-0.133296,51.528664
Euston Square,-0.133296,51.528664
Ewell East,-0.241503,51.345244
Ewell West,-0.257089,51.349991
Fairlop,0.090593,51.59611
Falconwood,0.07851,51.459086
Farringdon,-0.104843,51.520196
Feltham,-0.409824,51.447879
Fenchurch Street,-0.078554,51.511567
Fieldway,-0.024503,51.351317
Finchley Central,-0.193221,51.600903
Finchley Road,-0.180051,51.547096
Finchley Road and Frognal,-0.183651,51.550119
Finsbury Park,-0.105881,51.564635
Forest Gate,0.024189,51.549316
Forest Hill,-0.053329,51.439308
Fulham Broadway,-0.195544,51.480261
Fulwell,-0.349439,51.433943
Gallions Reach,0.071775,51.509034
Gants Hill,0.066084,51.576553
George Street,-0.098718,51.373966
Gidea Park,0.205977,51.581866
Gipsy Hill,-0.083835,51.42447
Gloucester Road,-0.183544,51.4945
Golders Green,-0.194835,51.572216
Goldhawk Road,-0.227404,51.502077
Goodge Street,-0.134808,51.520613
Goodmayes,0.11173,51.566181
Gordon Hill,-0.094473,51.663502
Gospel Oak,-0.151301,51.555405
Grange Hill,0.092273,51.61348
Grange Park,-0.097314,51.642623
Gravel Hill,-0.043122,51.354543
Great Portland Street,-0.143961,51.523789
Green Park,-0.142478,51.50676
Greenford,-0.345879,51.54198
Greenwich,-0.014863,51.477548
Grove Park,0.022599,51.430433
Gunnersbury,-0.275164,51.491863
Hackbridge,-0.153879,51.377861
Hackney Central,-0.05559,51.547257
Hackney Downs,-0.060185,51.549078
Hackney Wick,-0.02526,51.543558
Hadley Wood,-0.176581,51.668403
Haggerston,-0.075595,51.538685
Hainault,0.094109,51.602845
Hammersmith (District),-0.222861,51.49182
Hammersmith (Met.),-0.22464,51.493483
Hampstead,-0.178015,51.556543
Hampstead Heath,-0.164566,51.5552
Hampton,-0.372135,51.41588
Hampton Court,-0.342757,51.402294
Hampton Wick,-0.313104,51.41464
Hanger Lane,-0.292996,51.530072
Hanwell,-0.338052,51.512186
Harlesden,-0.257496,51.536258
Harold Wood,0.234204,51.593202
Harringay,-0.105208,51.577358
Harringay Green Lanes,-0.098217,51.577146
Harrington Road,-0.0607,51.399791
Harrow and Wealdstone,-0.334253,51.592595
Harrow-on-the-Hill,-0.337002,51.579388
Hatch End,-0.369179,51.609829
Hatton Cross,-0.423381,51.466685
Haydons Road,-0.188929,51.425457
Hayes,0.010143,51.375737
Hayes and Harlington,-0.420642,51.503049
Headstone Lane,-0.356908,51.6025
Heathrow Terminal 4,-0.44773,51.45978
Heathrow Terminal 5,-0.490648,51.470025
Heathrow Terminals 1 2 3,-0.452407,51.471289
Hendon,-0.238631,51.580075
Hendon Central,-0.226734,51.583133
Herne Hill,-0.102563,51.453991
Heron Quays,-0.021954,51.503387
High Barnet,-0.194165,51.651688
High Street Kensington,-0.191566,51.500729
Highams Park,-0.000135,51.608356
Highbury and Islington,-0.104082,51.546496
Highgate,-0.146935,51.577647
Hillingdon,-0.449898,51.553778
Hither Green,-0.000971,51.452402
Holborn,-0.119841,51.517236
Holland Park,-0.206558,51.507146
Holloway Road,-0.112936,51.552816
Homerton,-0.038512,51.546595
Honor Oak Park,-0.044153,51.450648
Hornchurch,0.218927,51.554355
Hornsey,-0.111816,51.586475
Hounslow,-0.361796,51.462505
Hounslow Central,-0.365958,51.470926
Hounslow East,-0.355275,51.473708
Hounslow West,-0.385708,51.473106
Hoxton,-0.075586,51.531392
